FID,PlotID,EstablishD,Easting,Northing,PlotKey,Forb_herb,Graminoid,HL,None,Shrub,Subshrub,Tree,WL,RASTERVALU
43,11_DENSE,2016-06-07T06:00:00Z,174300.000000000000000,4225193.000000000000000,1608011232210000.000000000000000,0.12666666666666668,0.4266666666666667,0.646666666667000,0.166666666667000,0.1733333333333333,NA,NA,0.14666666666666667,1591.549438479999900
44,9_DENSE,2016-06-13T06:00:00Z,181662.000000000000000,4218346.000000000000000,1608011631020000.000000000000000,0.04,0.22666666666666668,0.613333333333000,0.333333333333000,0.26,0.013333333333333334,NA,0.02,596.831054687999990
45,6_DENSE,2016-06-09T06:00:00Z,180141.000000000000000,4221912.000000000000000,1608021636030000.000000000000000,0.03333333333333333,0.16666666666666669,0.506666666667000,0.333333333333000,0.19333333333333336,0.1,NA,0.02,198.943679809999990
46,7_DENSE,2016-06-09T06:00:00Z,184790.000000000000000,4216541.000000000000000,1608031358570000.000000000000000,0.08,0.3666666666666667,0.580000000000000,0.206666666667000,0.2733333333333333,0.006666666666666667,NA,0.013333333333333334,1790.493164060000000
47,8_DENSE,2016-06-06T06:00:00Z,182225.000000000000000,4218832.000000000000000,1608031508410000.000000000000000,0.08666666666666667,0.16,0.546666666667000,0.300000000000000,0.2866666666666667,0.02666666666666667,NA,0.02,994.718383788999970
48,3_DENSE,2016-06-14T06:00:00Z,180014.000000000000000,4222601.000000000000000,1608040733520000.000000000000000,0.03333333333333333,0.04666666666666667,0.440000000000000,0.413333333333000,0.33999999999999997,NA,NA,0.02666666666666667,1591.549438479999900
49,2_DENSE,2016-06-09T06:00:00Z,180558.000000000000000,4221623.000000000000000,1611211120270000.000000000000000,0.02666666666666667,0.006666666666666667,0.266666666667000,0.606666666667000,0.20666666666666667,0.09333333333333334,NA,NA,0.000000000000000
50,SG_28_calibration,2016-05-31T06:00:00Z,0.000000000000000,0.000000000000000,1611221610380000.000000000000000,0.03333333333333333,0.5066666666666667,0.280000000000000,0.293333333333000,0.08,NA,NA,0.013333333333333334,-9999.000000000000000
51,PR11,2017-06-14T06:00:00Z,144997.000000000000000,4187260.000000000000000,1708011957310000.000000000000000,0.03333333333333333,0.5066666666666666,0.580000000000000,0.393333333333000,0.19999999999999998,NA,NA,0.04,-9999.000000000000000
52,PR09,2017-06-07T06:00:00Z,145716.000000000000000,4189582.000000000000000,1708031555570000.000000000000000,0.013333333333333334,0.5066666666666667,0.413333333333000,0.406666666667000,0.3133333333333333,NA,NA,0.013333333333333334,-9999.000000000000000
53,PR08,2017-06-13T06:00:00Z,161648.000000000000000,4192030.000000000000000,1708041143500000.000000000000000,0.060000000000000005,0.18666666666666665,0.753333333333000,0.306666666667000,0.45333333333333337,0.02,0.15333333333333332,0.04666666666666667,-9999.000000000000000
54,PR1100,2017-06-12T06:00:00Z,161355.000000000000000,4188689.000000000000000,1708071606470000.000000000000000,0.060000000000000005,0.14666666666666667,0.700000000000000,0.386666666667000,0.45333333333333337,0.013333333333333334,0.06666666666666667,0.08666666666666667,-9999.000000000000000
55,PR05,2017-06-19T06:00:00Z,145562.000000000000000,4188052.000000000000000,1708082009050000.000000000000000,0.02,0.25333333333333335,0.560000000000000,0.553333333333000,0.31333333333333335,NA,NA,0.013333333333333334,-9999.000000000000000
56,PR04,2017-06-14T06:00:00Z,161078.000000000000000,4199084.000000000000000,1708091916210000.000000000000000,0.19333333333333333,0.15333333333333335,0.866666666667000,0.326666666667000,0.39333333333333337,0.03333333333333333,NA,0.11333333333333333,-9999.000000000000000
57,PR01,2017-06-13T06:00:00Z,162305.000000000000000,4195365.000000000000000,1708161903250000.000000000000000,0.14,0.3066666666666667,0.833333333333000,0.200000000000000,0.6733333333333333,0.04,NA,0.07333333333333333,-9999.000000000000000
58,PR1000,2017-06-12T06:00:00Z,165800.000000000000000,4186051.000000000000000,1708210743040000.000000000000000,0.15333333333333335,0.36,0.740000000000000,0.360000000000000,0.4266666666666667,0.02666666666666667,NA,0.02666666666666667,-9999.000000000000000
59,PR900,2017-06-19T06:00:00Z,151515.000000000000000,4208819.000000000000000,1708301948380000.000000000000000,0.013333333333333334,0.08,0.700000000000000,0.393333333333000,0.5733333333333334,NA,0.03333333333333333,0.05333333333333334,-9999.000000000000000
60,PR400,2017-06-19T06:00:00Z,150630.000000000000000,4218624.000000000000000,1708302111560000.000000000000000,0.006666666666666667,NA,0.446666666667000,0.760000000000000,NA,0.006666666666666667,0.23333333333333334,0.07333333333333333,-9999.000000000000000
61,DC02,2017-06-22T06:00:00Z,174709.867399999990000,4227117.858389999700000,1709051754390000.000000000000000,NA,0.1,0.606666666667000,0.633333333333000,0.18,0.02,0.10666666666666667,0.09333333333333334,0.000000000000000
62,DW02,2017-06-20T06:00:00Z,188341.031850000000000,4213882.126070000200000,1709061915270000.000000000000000,0.02666666666666667,0.41333333333333333,0.800000000000000,0.540000000000000,0.013333333333333334,NA,0.12666666666666668,0.04666666666666667,0.000000000000000
63,DW01,2017-09-19T06:00:00Z,188701.439168000010000,4213427.130020000000000,1709190755060000.000000000000000,0.013333333333333334,0.5066666666666667,0.853333333333000,0.373333333333000,0.02666666666666667,0.10666666666666667,NA,0.3933333333333333,0.000000000000000
64,DC01,2017-06-21T06:00:00Z,177225.696692000000000,4224870.885979999800000,1709220852310000.000000000000000,0.013333333333333334,0.07333333333333333,0.380000000000000,0.720000000000000,0.05333333333333334,NA,0.10666666666666667,0.07333333333333333,0.000000000000000
65,SSC02,2017-09-22T06:00:00Z,175165.980772000010000,4225019.037300000000000,1709221418570000.000000000000000,0.006666666666666667,0.31333333333333335,0.586666666667000,0.513333333333000,0.21333333333333335,NA,NA,0.05333333333333334,0.000000000000000
66,HLI01,2017-06-21T06:00:00Z,180624.941595999990000,4224005.963229999900000,1709250715110000.000000000000000,0.08666666666666667,0.36,0.673333333333000,0.506666666667000,0.07333333333333333,0.006666666666666667,NA,0.16,0.000000000000000
67,HLI02,2017-06-21T06:00:00Z,179320.969403000000000,4224671.990140000400000,1709251004510000.000000000000000,NA,0.18,0.506666666667000,0.553333333333000,0.15333333333333335,NA,0.14666666666666667,0.02666666666666667,0.000000000000000
